commit date git,commit sha,jira_id,affected versions,fixed version
2014-11-19T11:04:02Z,577f98e498a21fcaa355b65754ce5428d5e3db21,SYNCOPE-608,[1.2.0],[1.2.2  2.0.0-M1],2014-11-19T09:00:24.000+0000
2014-11-19T09:12:11Z,cd2d63984e6825427730babbee1e6d6b65a3835a,SYNCOPE-607,[1.2.1],[1.2.2  2.0.0-M1],2014-11-19T08:26:39.000+0000
2014-11-12T15:22:15Z,3fb39a46b7c33aacb2c42c9b79da07b025a718b9,SYNCOPE-605,[1.2.1],[1.2.1  2.0.0-M1],2014-11-11T15:16:52.000+0000
2014-11-07T08:35:03Z,972f5dba12c00012cd1fb23b0f3900c2a742cee5,SYNCOPE-603,[1.2.1],[1.2.1  2.0.0-M1],2014-11-06T18:41:18.000+0000
2014-11-10T11:15:22Z,68991ba9e4d0c15c628c431727fda4ed436de5ce,SYNCOPE-601,[1.1.8  1.2.0],[1.1.9  1.2.1  2.0.0-M1],2014-11-06T10:06:41.000+0000
2014-11-10T10:48:08Z,3d5a3706c5c5bfff149d1244a5221a77659dc757,SYNCOPE-601,[1.1.8  1.2.0],[1.1.9  1.2.1  2.0.0-M1],2014-11-06T10:06:41.000+0000
2014-11-05T10:07:41Z,76b35a7870eee368d8b78e71d39bd9ecc2de5934,SYNCOPE-600,[1.1.8  1.2.0],[1.2.1  2.0.0-M1],2014-11-05T09:33:06.000+0000
2014-11-06T08:46:13Z,4d264368ed1df29e13690e9c6b05b651a366f273,SYNCOPE-598,[1.2.0],[1.2.1  2.0.0-M1],2014-11-02T21:29:51.000+0000
2014-10-29T17:06:26Z,15ac9a5c72788335d4079ea5302fcaf7be8345bf,SYNCOPE-597,[1.2.0],[1.2.1  2.0.0-M1],2014-10-29T16:15:25.000+0000
2014-10-28T13:32:37Z,a23ef02f2c672c009eb664e8fe91f9ae07e82adb,SYNCOPE-596,[1.2.0-M1  1.2.0],[1.2.1  2.0.0-M1],2014-10-28T11:25:45.000+0000
2014-10-30T16:20:47Z,f44df5bfdf83112b5ecfa033a3710495e03df151,SYNCOPE-578,[1.2.0-M1  1.2.0],[1.2.1  2.0.0-M1],2014-10-23T13:43:47.000+0000
